1022,1020,1018,1036 5',1036 6',1034 5' ,1034 6' ,1032 5' ,1032 6' ,1050 5',1050 6',1048 5',1048 6',1046 5',1046 6'
0.303030303,0.13014763,0.060508936,0.129176379,0.176767677,0.032731158,0.080128205,0.018065268,0,0.027777778,0.041666667,0,0,0,0
0.977871869,0.002570694,0.006842583,0.010282776,0.002432078,0,0,0,0,0,0,0,0,0,0
0.974171296,0.006845528,0.006634896,0.006634896,0.00366499,0,0,0,0,0,0,0,0,0,0.002048393
0.971973489,0.007806401,0.006811468,0.012245335,0.000891613,0,0,0.000271693,0,0,0,0,0,0,0
0.901264755,0.008972857,0.01418547,0.064063411,0.008117351,0.000712258,0.000358118,0,0,0.001358861,0.00096692,0,0,0,0
0.86284208,0.055643123,0.012568959,0.043142104,0.018547708,0.00175286,0.002887464,0,0,0.001460717,0.001154985,0,0,0,0
0.675325125,0.172073879,0.039862341,0.026200194,0.053697427,0.010549253,0.014094494,0.000977103,0.000959809,0.002888074,0.003372302,0,0,0,0
0.95574536,0.011190689,0.013307847,0.015848436,0.001209804,0.000756128,0,0.001161412,0,0.000780324,0,0,0,0,0
0.97407992,0.003032317,0.003219241,0.016656974,0.003011548,0,0,0,0,0,0,0,0,0,0
0.895209232,0.037999767,0.01361464,0.029467304,0.015339783,0.001883669,0.00314722,0.001361464,0,0.000741345,0.001235575,0,0,0,0
0.870743034,0.013660991,0.006888545,0.089589783,0.009636223,0,0,0,0,0.009481424,0,0,0,0,0
0.947072917,0.019332216,0.010797248,0.020669018,0.0021286,0,0,0,0,0,0,0,0,0,0
0.336096334,0.274238113,0.058146728,0.038764485,0.126603159,0.024949482,0.09526166,0.002763001,0.006453874,0.013526331,0.016866675,0.006330158,0,0,0
0.89303001,0.015488867,0.007478219,0.068973863,0.008470474,0,0,0,0,0.006558567,0,0,0,0,0
0.813353137,0.030765966,0.006911894,0.10801844,0.025204303,0.002848343,0.001916041,0.001343801,0,0.004436472,0.002462563,0,0.002739039,0,0
