1302,1300,1298,1296,1292,1292iso,1022,1020,1018,1036 5',1034 5' ,1032 5' ,1050 5',1048 5',1046 5'
0.0637,0.0124,0.0190,0.0079,0.0893,0.0102,0.3270,0.1255,0.0268,0.0215,0.0061,0.0000,0.0051,0.0000,0.0000
0.0614,0.0030,0.0051,0.0033,0.0341,0.0036,0.5427,0.1281,0.0330,0.0254,0.0039,0.0000,0.0039,0.0000,0.0000
0.0814,0.0036,0.0033,0.0014,0.0243,0.0017,0.4899,0.1785,0.0454,0.0210,0.0032,0.0000,0.0039,0.0000,0.0000
0.0613,0.0039,0.0025,0.0000,0.0048,0.0014,0.6979,0.1108,0.0245,0.0161,0.0032,0.0000,0.0036,0.0000,0.0000
0.0853,0.0102,0.0151,0.0097,0.0854,0.0074,0.6708,0.0055,0.0019,0.0174,0.0000,0.0000,0.0018,0.0000,0.0000

0.1256,0.0037,0.0058,0.0023,0.0138,0.0029,0.7511,0.0066,0.0000,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000
0.1141,0.0053,0.0043,0.0014,0.0134,0.0020,0.7386,0.0167,0.0043,0.0253,0.0000,0.0000,0.0000,0.0000,0.0000
0.0644,0.0029,0.0029,0.0015,0.0056,0.0009,0.8441,0.0104,0.0015,0.0243,0.0000,0.0000,0.0017,0.0000,0.0000

0.1517,0.0045,0.0071,0.0034,0.0235,0.0028,0.6930,0.0093,0.0066,0.0222,0.0000,0.0000,0.0045,0.0000,0.0000
0.0509,0.0018,0.0053,0.0021,0.0323,0.0031,0.8051,0.0091,0.0055,0.0188,0.0000,0.0000,0.0095,0.0000,0.0000
0.0876,0.0047,0.0080,0.0031,0.0252,0.0038,0.7701,0.0083,0.0000,0.0180,0.0000,0.0000,0.0056,0.0000,0.0000
0.1014,0.0035,0.0052,0.0018,0.0124,0.0017,0.7505,0.0155,0.0015,0.0179,0.0000,0.0000,0.0078,0.0000,0.0000
0.1804,0.0022,0.0036,0.0014,0.0069,0.0012,0.7335,0.0091,0.0030,0.0143,0.0000,0.0000,0.0000,0.0000,0.0000
0.0763,0.0029,0.0038,0.0000,0.0080,0.0014,0.7913,0.0068,0.0000,0.0544,0.0000,0.0000,0.0051,0.0000,0.0000
0.0898,0.0029,0.0049,0.0022,0.0151,0.0019,0.7639,0.0067,0.0000,0.0375,0.0000,0.0000,0.0059,0.0000,0.0000
0.0354,0.0022,0.0028,0.0016,0.0066,0.0011,0.8581,0.0043,0.0000,0.0435,0.0000,0.0000,0.0056,0.0000,0.0000
0.0926,0.0029,0.0031,0.0019,0.0110,0.0021,0.7807,0.0061,0.0000,0.0359,0.0000,0.0000,0.0067,0.0000,0.0000
0.0708,0.0025,0.0013,0.0013,0.0047,0.0005,0.7612,0.0099,0.0015,0.0702,0.0000,0.0000,0.0059,0.0000,0.0000

0.0489,0.0013,0.0006,0.0014,0.0007,0.0002,0.8649,0.0026,0.0010,0.0384,0.0000,0.0000,0.0017,0.0000,0.0000
0.0949,0.0134,0.0108,0.0021,0.0015,0.0000,0.8056,0.0035,0.0022,0.0251,0.0000,0.0000,0.0000,0.0000,0.0000
0.1706,0.0045,0.0036,0.0015,0.0084,0.0009,0.7136,0.0013,0.0000,0.0281,0.0000,0.0000,0.0008,0.0000,0.0000
0.0646,0.0065,0.0073,0.0016,0.0029,0.0004,0.8200,0.0030,0.0000,0.0418,0.0000,0.0000,0.0012,0.0000,0.0000
0.2029,0.0071,0.0043,0.0015,0.0155,0.0018,0.6168,0.0019,0.0000,0.0444,0.0000,0.0000,0.0025,0.0000,0.0000
0.0607,0.0037,0.0032,0.0015,0.0055,0.0020,0.7927,0.0031,0.0013,0.0621,0.0000,0.0000,0.0033,0.0000,0.0000
0.0396,0.0051,0.0051,0.0027,0.0070,0.0017,0.7765,0.0037,0.0000,0.0944,0.0045,0.0000,0.0000,0.0000,0.0000
0.0298,0.0070,0.0084,0.0049,0.0099,0.0022,0.7983,0.0038,0.0000,0.0666,0.0000,0.0000,0.0040,0.0000,0.0000
0.0328,0.0080,0.0090,0.0041,0.0142,0.0020,0.7918,0.0041,0.0019,0.0834,0.0037,0.0000,0.0000,0.0000,0.0000
0.0676,0.0158,0.0098,0.0047,0.0052,0.0015,0.7695,0.0043,0.0020,0.0634,0.0000,0.0000,0.0030,0.0000,0.0000
0.1712,0.0042,0.0029,0.0009,0.0050,0.0011,0.6720,0.0042,0.0013,0.0411,0.0000,0.0000,0.0071,0.0000,0.0000
0.0127,0.0024,0.0051,0.0040,0.0268,0.0101,0.8715,0.0022,0.0012,0.0161,0.0000,0.0000,0.0019,0.0000,0.0000
0.0885,0.0054,0.0090,0.0042,0.0414,0.0102,0.7143,0.0034,0.0016,0.0344,0.0000,0.0000,0.0028,0.0000,0.0000
0.0317,0.0026,0.0036,0.0022,0.0101,0.0025,0.8805,0.0053,0.0000,0.0290,0.0000,0.0000,0.0000,0.0000,0.0000
0.0531,0.0099,0.0127,0.0077,0.0439,0.0118,0.7877,0.0044,0.0028,0.0184,0.0000,0.0000,0.0000,0.0000,0.0000
0.1398,0.0036,0.0028,0.0009,0.0032,0.0003,0.7717,0.0068,0.0000,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000
0.1236,0.0024,0.0021,0.0013,0.0053,0.0004,0.7824,0.0060,0.0000,0.0206,0.0000,0.0000,0.0020,0.0000,0.0000
0.1795,0.0054,0.0030,0.0016,0.0022,0.0000,0.7180,0.0042,0.0037,0.0188,0.0000,0.0000,0.0000,0.0000,0.0000
0.1665,0.0025,0.0025,0.0019,0.0134,0.0033,0.6875,0.0033,0.0000,0.0317,0.0000,0.0000,0.0069,0.0000,0.0000
